상품번호,상품명,최소인원,교통편,지
33,[마쓰야마 골프]부산출발 일본 다색 골프여행,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
30,[치앙마이] 태국 가싼쿤탄 골프리조트,2인,항공 포함|자유항공,인천 
29,[라오스] 에스티베가스 카지노호텔 롱비엔 CC 라오 CC,2인,항공 포함|자유항공,인천 
28,[라오라오베이]사이판 사이판 유일한 36홀코스,2인,항공 포함|자유항공,인천 / 김해 / 청주
27,[클락] VIP 필리핀 3색 올포함 / 5성급 호텔,2인,항공 포함|자유항공,인천 / 김해 / 청주
26,[필리핀]클락3색 풀빌라 썬밸리CC 미모사 CC 프라데라 CC,2인,항공 포함|자유항공,인천 / 김해 / 청주
25,[베트남] 다낭 앙사나 특급 리조트 라구나랑코cc,2인,항공 포함|자유항공,인천 / 김해 / 청주
24,[가오슝]대만 VIP 3색 남보CC 가남 CC 신의 CC 특급 호텔,2인,항공 포함|자유항공,인천 / 김해 
23,[마닐라 알라방]필리핀 VIP 3색 골프장 5성급 호텔 / 단독차량,2인,항공 포함|자유항공,인천 / 김해 
22,[코타키나발루]  시내호텔 3색 골프,2인,항공 포함|자유항공,인천 / 김해 / 청주
21,[후쿠오카]일본 센추리 GC 명품 골프장,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
19,[미야자키]일본 골프여행 아이와 CC 골프텔 2박3일,2인,불포함|자유항공|항공포함요금,인천 / 김해 / 청주
18,[가오슝]대만 명문 팜레이크 C.C 골프장,2인,불포함|자유항공|항공포함요금,인천
